Year,Unemployment_Rate,CPI_Index,Policy_Rate,Interest_Rate_5Y,Employment_Index
1914,,4.747168916666667,,,
1915,,4.845930666666667,,,
1916,,5.2804845,,,
1917,,6.22860175,,,
1918,,7.0450355,,,
1919,,7.716618250000001,,,
1920,,8.9741905,,,
1921,,7.887806,,,
1922,,7.268896833333333,,,
1923,,7.268896916666667,,,
1924,,7.1306295,,,
1925,,7.216223583333334,,,
1926,,7.268897,,,
1927,,7.163550333333333,,,
1928,,7.216223666666667,,,
1929,,7.28864925,,,
1930,,7.216223416666668,,,
1931,,6.505135583333334,,,
1932,,5.892810083333333,,,
1933,,5.6360286666666655,,,
1934,,5.701870166666666,,,
1935,,5.728206666666666,,,
1936,,5.846721,,,
1937,,6.057413916666667,,,
1938,,6.090334416666667,,,
1939,,6.044245749999999,,,
1940,,6.301027166666667,,,
1941,,6.676323333333333,,,
1942,,6.985778,,,
1943,,7.137213666666667,,,
1944,,7.183302833333333,,,
1945,,7.229392,,,
1946,,7.453252833333333,,,
1947,,8.124835249999999,,,
1948,,9.283645166666666,,,
1949,,9.606268166666666,,,
1950,,9.863050916666667,2.8575,,
1951,,10.903344166666665,3.2325,,
1952,,11.186459166666667,3.563333333333333,,
1953,,11.074528333333333,3.705,,
1954,,11.146954166666667,3.1758333333333333,,
1955,,11.166706666666668,3.1366666666666667,3.1891666666666665,
1956,,11.3181425,3.625,3.605833333333333,
1957,,11.69344,4.110833333333333,4.125,
1958,,11.969975,4.149166666666667,4.115833333333334,
1959,,12.114826666666668,5.075,5.048333333333333,
1960,,12.279430833333334,5.185,5.1883333333333335,
1961,,12.40453,5.045833333333333,5.058333333333334,
1962,,12.536213333333334,5.113333333333333,5.099166666666666,
1963,,12.7403225,5.09,5.090833333333333,
1964,,12.983936666666667,5.184166666666667,5.184166666666667,
1965,,13.286808333333333,5.208333333333333,5.199166666666667,
1966,,13.793783333333332,5.69,5.685,
1967,,14.287591666666666,5.9366666666666665,5.898333333333333,
