Indicator,Lag_Years,Correlation,MAE
Starts,1,0.8901104098457177,2517.6771559171198
Registrations,1,-0.30894770012352213,2378.181005690884
Starts,2,0.8516769223940072,3080.0987211964202
Registrations,2,-0.16337733518362385,2568.336840355013
Starts,3,0.6892536326881366,4344.797304192776
Registrations,3,0.665750366230603,2507.4840269310143
