lag_months,correlation,MAE,R2
6,0.5304650419348567,525.5708648845805,0.28139316071494935
9,0.5353466076875077,525.8280489174197,0.2865959903625225
12,0.6128127453703772,492.9083768846148,0.37553946088837886
18,0.5471887197652934,530.0114436552117,0.2994154950383805
24,0.5927630823200908,504.0143443425374,0.35136807176161466
30,0.4733306724695725,552.2359698354472,0.22404192550049762
36,0.47237775602975485,557.7533432332506,0.2231407443917065
